,Anxiety,Bipolar,Depression,Normal,Personality disorder,Stress,Suicidal
anteil_self_to_all,0.8626932034723692,0.8384819064430715,0.8363766889296718,0.6232487942517799,0.7764790166283323,0.7745797715211878,0.8449194073195242
x_dif_pron,12.487373079927103,15.19085343896291,15.634964944170346,0.4597075200391605,13.61652739090065,8.120216466950135,14.628895981975216
x_len,102.0,129.0,113.0,10.0,137.0,87.0,92.0
std_self,16.592644093845855,18.84117823660051,22.369201204886814,2.240474088077593,24.7413442538336,11.650908657867728,24.295174996907317
std_all,19.59126479489163,23.58967306691357,27.707292756442683,3.3275197644393266,39.16809704735304,14.045944625323406,28.843319543726842
std_dif_pron,14.80321999735876,16.204284483390243,18.846999795132977,2.1465865096687833,15.330334926891553,11.805454660307381,21.238164262454827
durchschnitt_absolutist,0.010904136699573052,0.012230861539127185,0.01619425504369728,0.008450363853583826,0.014349345853571359,0.01163733382231634,0.017359178909319106
self_pronoun_to_word_ratio_median,0.1,0.10526315789473684,0.11688311688311688,0.0,0.1048951048951049,0.10559006211180125,0.12612612612612611
durchschnitt_time,0.3473980991959279,0.54320807913841,0.3822182912332411,0.09998888471458957,0.36320598290653733,0.39148966454596096,0.24152345367519465
self_pronoun_to_word_ratio,0.09594591906078848,0.10302840041832213,0.11158629827927634,0.060603518847481865,0.09875013165076456,0.10011457846635455,0.12453109189468876
durchschnitt_fragen,1.0676907055454308,1.5351098307526108,0.6524279407945988,0.17628342409594322,1.2367688022284122,0.6981059141863162,0.616410063837777
durchschnitt_ellipsen,0.22988804998698256,0.2621534029528268,0.19585821864450792,0.05819005078626935,0.20055710306406685,0.1449555469655972,0.19273375891851297
durchschnitt_ausrufezeichen,0.3059099192918511,0.29744328411955345,0.11198390028564009,0.09704460625344184,0.17270194986072424,0.19945883262466177,0.11725497559143823
